Completed 310 games, 400 rewards, 87099 frames, score 0, max score 4
Completed 311 games, 401 rewards, 87307 frames, score 0, max score 4
Completed 312 games, 402 rewards, 87561 frames, score 0, max score 4
Completed 313 games, 403 rewards, 87742 frames, score 0, max score 4
Completed 314 games, 404 rewards, 87996 frames, score 0, max score 4
Completed 315 games, 406 rewards, 88430 frames, score 1, max score 4
Completed 316 games, 407 rewards, 88684 frames, score 0, max score 4
Completed 317 games, 408 rewards, 88892 frames, score 0, max score 4
Completed 318 games, 409 rewards, 89100 frames, score 0, max score 4
Completed 319 games, 410 rewards, 89281 frames, score 0, max score 4
Completed 320 games, 411 rewards, 89462 frames, score 0, max score 4
Completed 321 games, 412 rewards, 89643 frames, score 0, max score 4
Completed 322 games, 414 rewards, 90106 frames, score 1, max score 4
Completed 323 games, 415 rewards, 90360 frames, score 0, max score 4
Completed 324 games, 416 rewards, 90541 frames, score 0, max score 4
Completed 325 games, 417 rewards, 90795 frames, score 0, max score 4
Completed 326 games, 418 rewards, 91003 frames, score 0, max score 4
Completed 327 games, 419 rewards, 91211 frames, score 0, max score 4
Completed 328 games, 420 rewards, 91392 frames, score 0, max score 4
Completed 329 games, 421 rewards, 91600 frames, score 0, max score 4
Completed 330 games, 422 rewards, 91854 frames, score 0, max score 4
Completed 331 games, 423 rewards, 92035 frames, score 0, max score 4
Completed 332 games, 424 rewards, 92216 frames, score 0, max score 4
Completed 333 games, 425 rewards, 92424 frames, score 0, max score 4
Completed 334 games, 426 rewards, 92678 frames, score 0, max score 4
Completed 335 games, 427 rewards, 92859 frames, score 0, max score 4
Completed 336 games, 428 rewards, 93067 frames, score 0, max score 4
Completed 337 games, 429 rewards, 93321 frames, score 0, max score 4
Completed 338 games, 430 rewards, 93529 frames, score 0, max score 4
Completed 339 games, 431 rewards, 93783 frames, score 0, max score 4
Completed 340 games, 432 rewards, 93964 frames, score 0, max score 4
Completed 341 games, 433 rewards, 94145 frames, score 0, max score 4
Completed 342 games, 434 rewards, 94399 frames, score 0, max score 4
Completed 343 games, 435 rewards, 94653 frames, score 0, max score 4
Completed 344 games, 436 rewards, 94907 frames, score 0, max score 4
Completed 345 games, 437 rewards, 95088 frames, score 0, max score 4
Completed 346 games, 438 rewards, 95269 frames, score 0, max score 4
Completed 347 games, 439 rewards, 95450 frames, score 0, max score 4
Completed 348 games, 440 rewards, 95704 frames, score 0, max score 4
Completed 349 games, 441 rewards, 95885 frames, score 0, max score 4
Completed 350 games, 442 rewards, 96139 frames, score 0, max score 4
Completed 351 games, 443 rewards, 96393 frames, score 0, max score 4
Completed 352 games, 444 rewards, 96574 frames, score 0, max score 4
Completed 353 games, 445 rewards, 96828 frames, score 0, max score 4
Completed 354 games, 446 rewards, 97036 frames, score 0, max score 4
Completed 355 games, 447 rewards, 97290 frames, score 0, max score 4
Completed 356 games, 448 rewards, 97544 frames, score 0, max score 4
Completed 357 games, 449 rewards, 97752 frames, score 0, max score 4
Completed 358 games, 450 rewards, 97960 frames, score 0, max score 4
Completed 359 games, 451 rewards, 98141 frames, score 0, max score 4
Completed 360 games, 453 rewards, 98743 frames, score 1, max score 4
Completed 361 games, 454 rewards, 98951 frames, score 0, max score 4
Completed 362 games, 456 rewards, 99356 frames, score 1, max score 4
Completed 363 games, 457 rewards, 99537 frames, score 0, max score 4
Completed 364 games, 460 rewards, 100502 frames, score 2, max score 4
Completed 365 games, 462 rewards, 100965 frames, score 1, max score 4
Completed 366 games, 464 rewards, 101555 frames, score 1, max score 4
Completed 367 games, 465 rewards, 101763 frames, score 0, max score 4
Completed 368 games, 466 rewards, 102017 frames, score 0, max score 4
Completed 369 games, 467 rewards, 102225 frames, score 0, max score 4
Completed 370 games, 468 rewards, 102433 frames, score 0, max score 4
Completed 371 games, 469 rewards, 102641 frames, score 0, max score 4
Completed 372 games, 471 rewards, 103138 frames, score 1, max score 4
Completed 373 games, 472 rewards, 103319 frames, score 0, max score 4
Completed 374 games, 475 rewards, 103930 frames, score 2, max score 4
Completed 375 games, 476 rewards, 104184 frames, score 0, max score 4
Completed 376 games, 477 rewards, 104365 frames, score 0, max score 4
Completed 377 games, 478 rewards, 104573 frames, score 0, max score 4
Completed 378 games, 480 rewards, 104914 frames, score 1, max score 4
Completed 379 games, 481 rewards, 105168 frames, score 0, max score 4
Completed 380 games, 482 rewards, 105349 frames, score 0, max score 4
Completed 381 games, 483 rewards, 105530 frames, score 0, max score 4
Completed 382 games, 484 rewards, 105784 frames, score 0, max score 4
Completed 383 games, 485 rewards, 105992 frames, score 0, max score 4
Completed 384 games, 486 rewards, 106200 frames, score 0, max score 4
Completed 385 games, 487 rewards, 106454 frames, score 0, max score 4
Completed 386 games, 488 rewards, 106635 frames, score 0, max score 4
Completed 387 games, 489 rewards, 106843 frames, score 0, max score 4
Completed 388 games, 490 rewards, 107024 frames, score 0, max score 4
Completed 389 games, 491 rewards, 107278 frames, score 0, max score 4
Completed 390 games, 492 rewards, 107459 frames, score 0, max score 4
Completed 391 games, 495 rewards, 108373 frames, score 2, max score 4
Completed 392 games, 496 rewards, 108581 frames, score 0, max score 4
Completed 393 games, 497 rewards, 108789 frames, score 0, max score 4
Completed 394 games, 498 rewards, 108970 frames, score 0, max score 4
Completed 395 games, 499 rewards, 109151 frames, score 0, max score 4
Completed 396 games, 500 rewards, 109359 frames, score 0, max score 4
Completed 397 games, 501 rewards, 109613 frames, score 0, max score 4
Completed 398 games, 502 rewards, 109794 frames, score 0, max score 4
Completed 399 games, 504 rewards, 110254 frames, score 1, max score 4
Completed 400 games, 505 rewards, 110435 frames, score 0, max score 4
Completed 401 games, 507 rewards, 110898 frames, score 1, max score 4
Completed 402 games, 508 rewards, 111106 frames, score 0, max score 4
Completed 403 games, 510 rewards, 112025 frames, score 1, max score 4
Completed 404 games, 512 rewards, 112522 frames, score 1, max score 4
Completed 405 games, 514 rewards, 112863 frames, score 1, max score 4
Completed 406 games, 515 rewards, 113071 frames, score 0, max score 4
Completed 407 games, 516 rewards, 113279 frames, score 0, max score 4
Completed 408 games, 517 rewards, 113460 frames, score 0, max score 4
Completed 409 games, 518 rewards, 113641 frames, score 0, max score 4
Completed 410 games, 520 rewards, 114129 frames, score 1, max score 4
Completed 411 games, 521 rewards, 114310 frames, score 0, max score 4
Completed 412 games, 522 rewards, 114564 frames, score 0, max score 4
Completed 413 games, 523 rewards, 114772 frames, score 0, max score 4
Completed 414 games, 524 rewards, 114953 frames, score 0, max score 4
Completed 415 games, 525 rewards, 115207 frames, score 0, max score 4
Completed 416 games, 526 rewards, 115461 frames, score 0, max score 4
Completed 417 games, 527 rewards, 115715 frames, score 0, max score 4
Completed 418 games, 528 rewards, 115969 frames, score 0, max score 4
Completed 419 games, 529 rewards, 116150 frames, score 0, max score 4
Completed 420 games, 530 rewards, 116331 frames, score 0, max score 4
Completed 421 games, 531 rewards, 116585 frames, score 0, max score 4
Completed 422 games, 532 rewards, 116839 frames, score 0, max score 4
Completed 423 games, 533 rewards, 117093 frames, score 0, max score 4
Completed 424 games, 534 rewards, 117274 frames, score 0, max score 4
Completed 425 games, 535 rewards, 117455 frames, score 0, max score 4
Completed 426 games, 536 rewards, 117636 frames, score 0, max score 4
Completed 427 games, 537 rewards, 117817 frames, score 0, max score 4
Completed 428 games, 539 rewards, 118254 frames, score 1, max score 4
Completed 429 games, 540 rewards, 118508 frames, score 0, max score 4
Completed 430 games, 541 rewards, 118689 frames, score 0, max score 4
Completed 431 games, 542 rewards, 118870 frames, score 0, max score 4
Completed 432 games, 543 rewards, 119078 frames, score 0, max score 4
Completed 433 games, 544 rewards, 119286 frames, score 0, max score 4
Completed 434 games, 547 rewards, 119823 frames, score 2, max score 4
Completed 435 games, 548 rewards, 120031 frames, score 0, max score 4
Completed 436 games, 549 rewards, 120239 frames, score 0, max score 4
Completed 437 games, 551 rewards, 120637 frames, score 1, max score 4
Completed 438 games, 552 rewards, 120891 frames, score 0, max score 4
Completed 439 games, 554 rewards, 121289 frames, score 1, max score 4
Completed 440 games, 556 rewards, 121801 frames, score 1, max score 4
Completed 441 games, 559 rewards, 122569 frames, score 2, max score 4
Completed 442 games, 560 rewards, 122777 frames, score 0, max score 4
Completed 443 games, 561 rewards, 122985 frames, score 0, max score 4
Completed 444 games, 562 rewards, 123193 frames, score 0, max score 4
Completed 445 games, 563 rewards, 123401 frames, score 0, max score 4
Completed 446 games, 564 rewards, 123582 frames, score 0, max score 4
Completed 447 games, 567 rewards, 124360 frames, score 2, max score 4
Completed 448 games, 568 rewards, 124541 frames, score 0, max score 4
